date,Open,High,Low,Close,Volume,Average,BarCount
2025-05-09 15:00:00-04:00,564.87,565.88,564.11,564.28,1473384.0,564.633,9654
2025-05-12 09:30:00-04:00,581.48,581.73,578.36,578.83,2194836.0,579.772,12681
2025-05-12 10:00:00-04:00,578.83,580.49,577.04,579.05,2106211.0,578.951,15968
2025-05-12 11:00:00-04:00,579.06,579.73,578.04,578.16,1416005.0,578.918,10232
2025-05-12 12:00:00-04:00,578.18,581.2,577.98,581.07,910149.0,579.769,6445
2025-05-12 13:00:00-04:00,581.08,582.42,580.97,581.5,1024341.0,581.626,7017
2025-05-12 14:00:00-04:00,581.51,582.58,581.34,581.55,811570.0,581.943,5582
2025-05-12 15:00:00-04:00,581.54,583.0,580.8,582.83,3355529.0,581.97,20359
2025-05-13 09:30:00-04:00,583.46,585.46,582.84,585.27,1381685.0,583.939,8491
2025-05-13 10:00:00-04:00,585.29,587.9,585.23,587.08,1760299.0,586.63,13421
2025-05-13 11:00:00-04:00,587.11,588.43,586.75,587.65,1061679.0,587.64,7880
2025-05-13 12:00:00-04:00,587.67,588.35,586.96,587.96,627749.0,587.612,5044
2025-05-13 13:00:00-04:00,587.96,589.06,587.66,587.92,804662.0,588.327,6216
2025-05-13 14:00:00-04:00,587.92,588.7,587.49,588.59,773117.0,587.993,5993
2025-05-13 15:00:00-04:00,588.59,589.07,586.73,586.8,2410663.0,587.913,16185
2025-05-14 09:30:00-04:00,587.83,588.97,586.47,587.53,1499049.0,587.766,11001
2025-05-14 10:00:00-04:00,587.54,587.91,586.39,587.54,1543619.0,587.275,12350
2025-05-14 11:00:00-04:00,587.54,588.35,585.8,588.02,1275830.0,587.357,10380
2025-05-14 12:00:00-04:00,588.0,588.56,587.11,587.46,751950.0,587.886,6063
2025-05-14 13:00:00-04:00,587.47,587.51,585.56,587.33,1190333.0,586.685,9499
2025-05-14 14:00:00-04:00,587.35,588.22,586.58,587.62,1101199.0,587.454,8672
2025-05-14 15:00:00-04:00,587.62,588.14,586.39,587.55,3202157.0,587.337,21712
2025-05-15 09:30:00-04:00,585.56,586.45,585.1,586.14,1390645.0,585.831,9550
2025-05-15 10:00:00-04:00,586.13,587.13,585.32,586.63,1604226.0,586.178,13422
2025-05-15 11:00:00-04:00,586.65,589.42,586.48,589.08,1496062.0,588.116,12409
2025-05-15 12:00:00-04:00,589.09,590.2,588.78,590.17,1045287.0,589.439,8552
2025-05-15 13:00:00-04:00,590.19,590.97,589.73,589.89,996549.0,590.334,7592
2025-05-15 14:00:00-04:00,589.9,590.33,588.69,589.72,1087350.0,589.626,9000
2025-05-15 15:00:00-04:00,589.73,590.44,588.31,590.4,3091352.0,589.606,23064
2025-05-16 09:30:00-04:00,591.21,591.4,590.01,591.39,1453743.0,590.748,9625
2025-05-16 10:00:00-04:00,591.31,591.62,589.28,590.45,1211447.0,590.627,9422
2025-05-16 11:00:00-04:00,590.46,591.62,590.39,591.03,694110.0,591.026,5558
2025-05-16 12:00:00-04:00,591.04,592.51,590.92,592.26,788934.0,592.033,5805
2025-05-16 13:00:00-04:00,592.25,593.47,592.11,592.82,840559.0,592.937,6153
2025-05-16 14:00:00-04:00,592.82,594.02,592.66,593.55,778098.0,593.365,5830
2025-05-16 15:00:00-04:00,593.56,594.5,593.19,594.3,2300555.0,593.947,15741
2025-05-19 09:30:00-04:00,588.1,591.41,588.09,591.26,1585390.0,589.657,10911
2025-05-19 10:00:00-04:00,591.24,593.3,591.05,592.0,1611226.0,592.366,12068
2025-05-19 11:00:00-04:00,592.02,593.77,591.95,593.1,852043.0,592.812,6434
2025-05-19 12:00:00-04:00,593.15,594.76,592.93,594.54,908966.0,593.834,6471
2025-05-19 13:00:00-04:00,594.54,595.54,594.31,594.36,1221594.0,595.027,8802
2025-05-19 14:00:00-04:00,594.36,594.54,593.35,594.39,1122675.0,594.057,8391
2025-05-19 15:00:00-04:00,594.4,595.24,593.16,594.94,2550929.0,594.29,17655
2025-05-20 09:30:00-04:00,593.11,593.62,592.04,592.84,1193608.0,593.052,7869
2025-05-20 10:00:00-04:00,592.85,594.05,592.37,592.97,1201497.0,593.162,9042
2025-05-20 11:00:00-04:00,592.97,593.64,592.48,593.15,778164.0,593.129,6119
2025-05-20 12:00:00-04:00,593.22,593.57,592.24,593.38,661724.0,592.993,5201
2025-05-20 13:00:00-04:00,593.37,593.8,592.47,593.0,752928.0,593.261,5787
2025-05-20 14:00:00-04:00,592.95,593.17,590.59,590.88,1365715.0,591.522,10614
2025-05-20 15:00:00-04:00,590.88,592.96,589.61,592.83,2627041.0,591.65,17847
